Customer_ID,CustomerName,Contact_Email,Region
1,Jane Smith,jane.smith@example.com,Northeast
2,Michael Brown,michael.brown@example.com,South
3,Emily Williams,emily.williams@example.com,South
4,Jane Wilson,jane.wilson@example.com,West
5,Jane Taylor,jane.taylor@example.com,Midwest
6,David Smith,david.smith@example.com,Northeast
7,John Johnson,john.johnson@example.com,South
8,Emily Brown,emily.brown@example.com,South
9,Robert Taylor,robert.taylor@example.com,Midwest
10,John Wilson,john.wilson@example.com,South
11,Emily Wilson,emily.wilson@example.com,Northeast
12,David Brown,david.brown@example.com,Midwest
13,Laura Taylor,laura.taylor@example.com,Northeast
14,Michael Smith,michael.smith@example.com,South
15,Alex Miller,alex.miller@example.com,Midwest
16,Sarah Jones,sarah.jones@example.com,South
17,Alex Brown,alex.brown@example.com,Northeast
18,Sarah Johnson,sarah.johnson@example.com,Midwest
19,Jane Miller,jane.miller@example.com,Midwest
20,Jane Garcia,jane.garcia@example.com,Northeast
21,Sarah Taylor,sarah.taylor@example.com,South
22,Michael Smith,michael.smith@example.com,Midwest
23,Laura Wilson,laura.wilson@example.com,South
24,Jane Miller,jane.miller@example.com,West
25,Jane Wilson,jane.wilson@example.com,Midwest
26,Michael Taylor,michael.taylor@example.com,South
27,Sarah Taylor,sarah.taylor@example.com,South
28,Emily Johnson,emily.johnson@example.com,Northeast
29,John Brown,john.brown@example.com,South
30,Michael Johnson,michael.johnson@example.com,Northeast
31,Emily Johnson,emily.johnson@example.com,South
32,David Jones,david.jones@example.com,Northeast
33,Laura Garcia,laura.garcia@example.com,South
34,Alex Garcia,alex.garcia@example.com,Midwest
35,Sarah Brown,sarah.brown@example.com,West
36,Michael Johnson,michael.johnson@example.com,Midwest
37,Linda Williams,linda.williams@example.com,Northeast
38,Robert Brown,robert.brown@example.com,South
39,Alex Davis,alex.davis@example.com,Northeast
40,David Jones,david.jones@example.com,Midwest
41,Robert Brown,robert.brown@example.com,Midwest
42,Sarah Smith,sarah.smith@example.com,West
43,Emily Smith,emily.smith@example.com,Northeast
44,Sarah Miller,sarah.miller@example.com,South
45,Michael Johnson,michael.johnson@example.com,Midwest
46,Emily Taylor,emily.taylor@example.com,Northeast
47,Sarah Brown,sarah.brown@example.com,Northeast
48,Laura Miller,laura.miller@example.com,West
49,Laura Williams,laura.williams@example.com,Northeast
50,Michael Williams,michael.williams@example.com,West
51,Emily Wilson,emily.wilson@example.com,South
52,Robert Jones,robert.jones@example.com,Midwest
53,Linda Miller,linda.miller@example.com,West
54,Linda Miller,linda.miller@example.com,West
55,Sarah Brown,sarah.brown@example.com,Northeast
56,Alex Wilson,alex.wilson@example.com,South
57,Laura Johnson,laura.johnson@example.com,Northeast
58,John Johnson,john.johnson@example.com,South
59,Alex Williams,alex.williams@example.com,Northeast
60,David Taylor,david.taylor@example.com,South
61,Jane Miller,jane.miller@example.com,West
62,David Taylor,david.taylor@example.com,South
63,Laura Wilson,laura.wilson@example.com,Northeast
64,Michael Wilson,michael.wilson@example.com,South
65,John Johnson,john.johnson@example.com,Midwest
66,Robert Jones,robert.jones@example.com,Northeast
67,Sarah Johnson,sarah.johnson@example.com,South
68,Michael Miller,michael.miller@example.com,West
69,Alex Davis,alex.davis@example.com,Midwest
70,John Jones,john.jones@example.com,West
71,Robert Williams,robert.williams@example.com,South
72,Robert Johnson,robert.johnson@example.com,South
73,Michael Wilson,michael.wilson@example.com,Midwest
74,Linda Brown,linda.brown@example.com,Midwest
75,Alex Garcia,alex.garcia@example.com,Midwest
76,Alex Wilson,alex.wilson@example.com,West
77,Robert Smith,robert.smith@example.com,South
78,Linda Garcia,linda.garcia@example.com,South
79,Laura Smith,laura.smith@example.com,Midwest
80,Jane Garcia,jane.garcia@example.com,Midwest
81,Michael Brown,michael.brown@example.com,Midwest
82,John Brown,john.brown@example.com,Northeast
83,Linda Johnson,linda.johnson@example.com,West
84,Jane Davis,jane.davis@example.com,South
85,Jane Wilson,jane.wilson@example.com,South
86,Alex Williams,alex.williams@example.com,Midwest
87,Laura Wilson,laura.wilson@example.com,Northeast
88,Alex Jones,alex.jones@example.com,Midwest
89,Robert Taylor,robert.taylor@example.com,Northeast
90,David Brown,david.brown@example.com,West
91,Robert Brown,robert.brown@example.com,Midwest
92,Michael Miller,michael.miller@example.com,Northeast
93,Sarah Davis,sarah.davis@example.com,Northeast
94,Robert Davis,robert.davis@example.com,West
95,Jane Brown,jane.brown@example.com,Northeast
96,Emily Johnson,emily.johnson@example.com,Northeast
97,Sarah Smith,sarah.smith@example.com,South
98,Linda Wilson,linda.wilson@example.com,Northeast
99,Emily Taylor,emily.taylor@example.com,Midwest
100,Emily Smith,emily.smith@example.com,South
101,Jane Smith,jane.smith@example.com,Northeast
